Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Belgium,2004,47.5,Total
Belgium,2004,48.1,Total
Belgium,2004,49.3,Total
Belgium,2004,27.2,Female
Belgium,2004,29.1,Female
Belgium,2004,34,Female
Belgium,2004,38.8,Female
Belgium,2004,37.8,Female
Belgium,2008,41.5,Female
Belgium,2008,41.7,Female
Belgium,2008,43.4,Female
Belgium,2008,32.4,Total
Belgium,2008,34.2,Total
Belgium,2008,11.2,Male
Belgium,2008,11.5,Male
Belgium,2008,11.9,Male
Belgium,2008,13.3,Male
Belgium,2013,13.6,Male
Belgium,2013,16.7,Male
Belgium,2013,55.5,Male
Belgium,2013,59.3,Male
Belgium,2013,18.1,Male
Belgium,2013,19.6,Male
Belgium,2013,46.4,Female
Belgium,2013,51.7,Female
Belgium,2013,37.5,Male
Belgium,2014,39,Male
Belgium,2014,38.7,Male
Belgium,2014,40.8,Male
Belgium,2014,41.3,Male
Belgium,2014,38.6,Male
Belgium,2014,37.4,Male
Belgium,2014,39.7,Male
Belgium,2014,10.5,Female
Belgium,2014,12.7,Female
Belgium,2018,13.5,Female
Belgium,2018,14.7,Female
Belgium,2018,13.9,Female
Belgium,2018,15,Female
